eps             delta           a               b               x               n_m             n               k       k_t     C
0.100000        0.010000        0.500000        1.000000        0.875000        10.000000       0.291945        2       2       1
0.010000        0.010000        0.500000        1.000000        0.859375        1.000000        0.299954        5       6       1
0.001000        0.010000        0.500000        1.000000        0.867188        0.100000        0.295887        5       9       0
0.000100        0.010000        0.500000        1.000000        0.867188        0.010000        0.295887        5       12      0
0.000010        0.010000        0.500000        1.000000        0.867188        0.001000        0.295887        5       16      0
0.000001        0.010000        0.500000        1.000000        0.867188        0.000100        0.295887        5       19      0
0.100000        0.001000        0.500000        1.000000        0.875000        100.000000      0.291945        2       2       1
0.010000        0.001000        0.500000        1.000000        0.859375        10.000000       0.299954        5       6       1
0.001000        0.001000        0.500000        1.000000        0.867188        1.000000        0.295887        5       9       1
0.000100        0.001000        0.500000        1.000000        0.867188        0.100000        0.295887        5       12      0
0.000010        0.001000        0.500000        1.000000        0.867188        0.010000        0.295887        5       16      0
0.000001        0.001000        0.500000        1.000000        0.867188        0.001000        0.295887        5       19      0
0.100000        0.000100        0.500000        1.000000        0.875000        1000.000000     0.291945        2       2       1
0.010000        0.000100        0.500000        1.000000        0.859375        100.000000      0.299954        5       6       1
0.001000        0.000100        0.500000        1.000000        0.865234        10.000000       0.296892        8       9       1
0.000100        0.000100        0.500000        1.000000        0.867065        1.000000        0.295950        12      12      1
0.000010        0.000100        0.500000        1.000000        0.867096        0.100000        0.295934        13      16      0
0.000001        0.000100        0.500000        1.000000        0.867096        0.010000        0.295934        13      19      0
0.100000        0.000010        0.500000        1.000000        0.875000        10000.000000    0.291945        2       2       1
0.010000        0.000010        0.500000        1.000000        0.859375        1000.000000     0.299954        5       6       1
0.001000        0.000010        0.500000        1.000000        0.865234        100.000000      0.296892        8       9       1
0.000100        0.000010        0.500000        1.000000        0.867065        10.000000       0.295950        12      12      1
0.000010        0.000010        0.500000        1.000000        0.867081        1.000000        0.295942        15      16      1
0.000001        0.000010        0.500000        1.000000        0.867085        0.100000        0.295940        16      19      0
0.100000        0.000001        0.500000        1.000000        0.875000        100000.000000   0.291945        2       2       1
0.010000        0.000001        0.500000        1.000000        0.859375        10000.000000    0.299954        5       6       1
0.001000        0.000001        0.500000        1.000000        0.865234        1000.000000     0.296892        8       9       1
0.000100        0.000001        0.500000        1.000000        0.867065        100.000000      0.295950        12      12      1
0.000010        0.000001        0.500000        1.000000        0.867081        10.000000       0.295942        15      16      1
0.000001        0.000001        0.500000        1.000000        0.867085        1.000000        0.295940        16      19      1
