eps	delta	a	b	x_I	k_I	Dx	c
0,100000	0,100000	0,500000	1,250000	0,900000	2	0,032916	1
0,010000	0,100000	0,500000	1,250000	0,900000	3	0,032916	0
0,001000	0,100000	0,500000	1,250000	0,900000	3	0,032916	0
0,000100	0,100000	0,500000	1,250000	0,900000	3	0,032916	0
0,000010	0,100000	0,500000	1,250000	0,900000	3	0,032916	0
0,000001	0,100000	0,500000	1,250000	0,900000	3	0,032916	0
0,100000	0,010000	0,500000	1,250000	0,850000	2	0,017084	1
0,010000	0,010000	0,500000	1,250000	0,870000	3	0,002916	1
0,001000	0,010000	0,500000	1,250000	0,870000	4	0,002916	0
0,000100	0,010000	0,500000	1,250000	0,870000	4	0,002916	0
0,000010	0,010000	0,500000	1,250000	0,870000	4	0,002916	0
0,000001	0,010000	0,500000	1,250000	0,870000	4	0,002916	0
0,100000	0,001000	0,500000	1,250000	0,853000	2	0,014084	1
0,010000	0,001000	0,500000	1,250000	0,867000	3	0,000084	1
0,001000	0,001000	0,500000	1,250000	0,867000	4	0,000084	1
0,000100	0,001000	0,500000	1,250000	0,867000	4	0,000084	1
0,000010	0,001000	0,500000	1,250000	0,867000	4	0,000084	0
0,000001	0,001000	0,500000	1,250000	0,867000	4	0,000084	0
0,100000	0,000100	0,500000	1,250000	0,852600	2	0,014484	1
0,010000	0,000100	0,500000	1,250000	0,867100	3	0,000016	1
0,001000	0,000100	0,500000	1,250000	0,867100	4	0,000016	1
0,000100	0,000100	0,500000	1,250000	0,867100	4	0,000016	1
0,000010	0,000100	0,500000	1,250000	0,867100	4	0,000016	0
0,000001	0,000100	0,500000	1,250000	0,867100	4	0,000016	0
0,100000	0,000010	0,500000	1,250000	0,852600	2	0,014484	1
0,010000	0,000010	0,500000	1,250000	0,867100	3	0,000016	1
0,001000	0,000010	0,500000	1,250000	0,867090	4	0,000006	1
0,000100	0,000010	0,500000	1,250000	0,867090	4	0,000006	1
0,000010	0,000010	0,500000	1,250000	0,867090	4	0,000006	1
0,000001	0,000010	0,500000	1,250000	0,867090	4	0,000006	0
0,100000	0,000001	0,500000	1,250000	0,852598	2	0,014486	1
0,010000	0,000001	0,500000	1,250000	0,867099	3	0,000015	1
0,001000	0,000001	0,500000	1,250000	0,867084	4	0,000000	1
0,000100	0,000001	0,500000	1,250000	0,867084	4	0,000000	1
0,000010	0,000001	0,500000	1,250000	0,867084	4	0,000000	1
0,000001	0,000001	0,500000	1,250000	0,867084	4	0,000000	1
