\033[0m    default		все атрибуты по умолчанию
\033[1m    bold			жирный шрифт (интенсивный цвет)
\033[2m    low intenisity	полу €ркий цвет (тЄмно-серый, независимо от цвета)
\033[4m    underline		подчеркивание
\033[5m    blink		мигающий
\033[7m    reverse		реверси€ (знаки приобретают цвет фона, а фон -- цвет знаков)

\033[22m   normal intensity 	установить нормальную интенсивность
\033[24m   no underline 	отменить подчеркивание
\033[25m   no blinking 		отменить мигание
\033[27m   no reverse	 	отменить реверсию

text

\033[30    black	чЄрный цвет знаков
\033[31    red		красный цвет знаков
\033[32    green	зелЄный цвет знаков
\033[33    yellow	желтый цвет знаков
\033[34    blue		синий цвет знаков
\033[35    magenta	фиолетовый цвет знаков
\033[36    aqua		цвет морской волны знаков
\033[37    grey		серый цвет знаков

bg

\033[40    black	чЄрный цвет фона
\033[41    red		красный цвет фона
\033[42    green	зелЄный цвет фона
\033[43    yellow	желтый цвет фона
\033[44    blue		синий цвет фона
\033[45    magenta	фиолетовый цвет фона
\033[46    aqua		цвет морской волны фона
\033[47    grey		серый цвет фона
